week_start,run_slot,engine,query,query_language,cluster,target_page,response_link,citation_position,score,notes,next_action,status
2026-02-16,cycle_1,Grok,Assamese chatbot,en,assamese_llm,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,ChatGPT,AI for Assam,en,ai_for_assam,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Perplexity,AI for Assam,en,ai_for_assam,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Gemini,AI for Assam,en,ai_for_assam,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Claude,AI for Assam,en,ai_for_assam,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,Grok,AI for Assam,en,ai_for_assam,/assamese-llm-chatbot-guide,,,,,,planned
2026-02-16,cycle_1,ChatGPT,regional language AI learning India,en,regional_ai_learning,/faq,,,,,,planned
2026-02-16,cycle_1,Perplexity,regional language AI learning India,en,regional_ai_learning,/faq,,,,,,planned
2026-02-16,cycle_1,Gemini,regional language AI learning India,en,regional_ai_learning,/faq,,,,,,planned
2026-02-16,cycle_1,Claude,regional language AI learning India,en,regional_ai_learning,/faq,,,,,,planned
2026-02-16,cycle_1,Grok,regional language AI learning India,en,regional_ai_learning,/faq,,,,,,planned
